ID,technology,fuel,node,maxPower,minPower,efficiency,emission,rampUp,rampDown,variableCosts,hotStartCosts,warmStartCosts,coldStartCosts,minOperatingTime,minDowntime,heatExtraction,maxExtraction,heatingDistrict,company,year
BNA0361,open cycle gas turbine,natural gas,80,40.0,10.0,0.389,0.518,40.0,40.0,3.0,19.5,34.5,43.5,0,0,yes,57.0,DH_DE_Ind,Kraftwerk Grenzach-Wyhlen,2004
BNA0369,oil,oil,346,17.0,4.25,0.38,0.701,17.0,17.0,3.0,20.7,35.8,45.1,0,0,no,0.0,N/A,Spitzenlastkraftwerk Sermuth,1995
BNA0373,oil,oil,143,120.0,30.0,0.364,0.73,120.0,120.0,3.0,20.7,35.8,45.1,0,0,no,0.0,N/A,Spitzenlastkraftwerk Großkayna,1994
BNA0374,open cycle gas turbine,natural gas,192,622.0,155.5,0.36,0.561,622.0,622.0,3.0,19.5,34.5,43.5,0,0,no,0.0,N/A,Staudinger,1977
BNA0377,hard coal,hard coal,192,510.0,204.0,0.405,0.84,357.0,357.0,1.3,30.5,47.5,69.3,7,6,no,0.0,N/A,Staudinger,1992
BNA0378,oil,oil,313,386.0,96.5,0.355,0.7490000000000001,386.0,386.0,3.0,20.7,35.8,45.1,0,0,yes,643.0,DH_DE_Rem,Ingolstadt,1973
BNA0379,oil,oil,313,386.0,96.5,0.35600000000000004,0.746,386.0,386.0,3.0,20.7,35.8,45.1,0,0,yes,643.0,DH_DE_Rem,Ingolstadt,1974
BNA0381,nuclear,uranium,294,1284.0,513.6,0.33,0.0,770.4,770.4,6.0,140.0,140.0,140.0,72,10,no,0.0,N/A,Kernkraft Gundremmingen ,1984
BNA0382,nuclear,uranium,294,1288.0,515.2,0.33,0.0,772.8,772.8,6.0,140.0,140.0,140.0,72,10,no,0.0,N/A,Kernkraft Gundremmingen ,1984
BNA0386,open cycle gas turbine,natural gas,211,22.0,5.5,0.37799999999999995,0.5329999999999999,22.0,22.0,3.0,19.5,34.5,43.5,0,0,yes,34.0,DH_DE_Ind,Energiezentrum Mohn Media,1994
BNA0389,combined cycle gas turbine,natural gas,178,230.0,92.0,0.5579999999999999,0.36200000000000004,195.5,195.5,4.0,24.0,34.2,46.7,5,6,yes,211.0,DH_DE_Ind,Heizkraftwerk Hagen-Kabel,1980
BNA0392a,open cycle gas turbine,natural gas,143,97.0,24.25,0.391,0.517,97.0,97.0,3.0,19.5,34.5,43.5,0,0,yes,78.0,DH_DE_Ind,HKW Halle Trotha,2005
BNA0392b,combined cycle gas turbine,natural gas,143,54.0,21.6,0.599,0.337,45.9,45.9,4.0,23.0,34.2,46.7,5,6,yes,43.0,DH_DE_Rem,HKW Halle Trotha,2013
BNA0400,combined cycle gas turbine,natural gas,415,127.0,50.800000000000004,0.581,0.348,107.95,107.95,4.0,23.0,34.2,46.7,5,6,yes,170.0,DH_DE_Hamburg,GuD Tiefstack,2009
BNA0401,open cycle gas turbine,natural gas,414,22.5,5.625,0.376,0.536,22.5,22.5,3.0,19.5,34.5,43.5,0,0,yes,35.0,DH_DE_Rem,Heizkraftwerk,1992
BNA0402,hard coal,hard coal,415,194.0,77.60000000000001,0.408,0.835,135.79999999999998,135.79999999999998,1.3,45.1,73.9,73.2,7,6,yes,814.0,DH_DE_Hamburg,Tiefstack,1993
BNA0403,hard coal,hard coal,410,123.0,49.2,0.408,0.835,86.1,86.1,1.3,45.1,73.9,73.2,7,6,yes,63.0,DH_DE_Hamburg,Wedel,1962
BNA0404,hard coal,hard coal,410,137.0,54.800000000000004,0.408,0.835,95.89999999999999,95.89999999999999,1.3,45.1,73.9,73.2,7,6,yes,290.0,DH_DE_Hamburg,Wedel,1961
BNA0410,combined cycle gas turbine,natural gas,65,417.1,166.84000000000003,0.5760000000000001,0.35,354.535,354.535,4.0,23.0,34.2,46.7,5,6,no,0.0,N/A,Trianel Gaskraftwerk ,2008
BNA0411,combined cycle gas turbine,natural gas,65,420.9,168.36,0.5760000000000001,0.35,357.765,357.765,4.0,24.0,34.2,46.7,5,6,no,0.0,N/A,Trianel Gaskraftwerk ,2008
BNA0413a,hard coal,hard coal,36,284.0,113.60000000000001,0.348,0.9790000000000001,198.79999999999998,198.79999999999998,1.3,45.1,73.9,73.2,7,6,no,0.0,N/A,Westfalen,1969
BNA0413c,hard coal,hard coal,36,765.0,306.0,0.46,0.7390000000000001,535.5,535.5,1.3,30.5,47.5,69.3,7,6,no,0.0,N/A,Westfalen,2014
BNA0418,combined cycle gas turbine,natural gas,383,230.0,92.0,0.599,0.337,195.5,195.5,4.0,23.0,34.2,46.7,5,6,yes,185.0,DH_DE_Rem,GKL,2013
BNA0419,open cycle gas turbine,natural gas,383,102.0,25.5,0.358,0.564,102.0,102.0,3.0,19.5,34.5,43.5,0,0,yes,280.0,DH_DE_Rem,KWH,1975
BNA0420,hard coal,hard coal,385,136.0,54.400000000000006,0.39799999999999996,0.856,95.19999999999999,95.19999999999999,1.3,45.1,73.9,73.2,7,6,yes,203.0,DH_DE_Rem,GKH,1989
BNA0421,hard coal,hard coal,385,136.0,54.400000000000006,0.39799999999999996,0.856,95.19999999999999,95.19999999999999,1.3,45.1,73.9,73.2,7,6,yes,203.0,DH_DE_Rem,GKH,1989
BNA0427,oil,oil,305,23.2,5.8,0.33299999999999996,0.7979999999999999,23.2,23.2,3.0,20.7,35.8,45.1,0,0,no,0.0,N/A,Kraftwerk Hausham,1982
BNA0428,oil,oil,305,23.2,5.8,0.33299999999999996,0.7979999999999999,23.2,23.2,3.0,20.7,35.8,45.1,0,0,no,0.0,N/A,Kraftwerk Hausham,1982
BNA0429,oil,oil,305,23.2,5.8,0.33299999999999996,0.7979999999999999,23.2,23.2,3.0,20.7,35.8,45.1,0,0,no,0.0,N/A,Kraftwerk Hausham,1982
BNA0430,oil,oil,305,23.2,5.8,0.33299999999999996,0.7979999999999999,23.2,23.2,3.0,20.7,35.8,45.1,0,0,no,0.0,N/A,Kraftwerk Hausham,1982
BNA0432,hard coal,hard coal,255,125.0,50.0,0.45,0.7559999999999999,87.5,87.5,1.3,45.1,73.9,73.2,7,6,yes,64.0,DH_DE_Rem,Heizkraftwerk Heilbronn,1965
BNA0433,hard coal,hard coal,255,125.0,50.0,0.45,0.7559999999999999,87.5,87.5,1.3,45.1,73.9,73.2,7,6,no,0.0,N/A,Heizkraftwerk Heilbronn,1966
BNA0434,hard coal,hard coal,255,778.0,311.20000000000005,0.44799999999999995,0.76,544.5999999999999,544.5999999999999,1.3,30.5,47.5,69.3,7,6,yes,550.0,DH_DE_Rem,Heizkraftwerk Heilbronn,1985
BNA0439,lignite,lignite,376,352.0,176.0,0.364,0.998,176.0,176.0,7.0,30.4,47.5,69.3,10,7,no,0.0,N/A,Buschhaus,1985
BNA0442,combined cycle gas turbine,natural gas,177,417.0,166.8,0.5720000000000001,0.353,354.45,354.45,4.0,24.0,34.2,46.7,5,6,no,0.0,N/A,Cuno Heizkraftwerk Herdecke,2007
BNA0444,combined cycle gas turbine,natural gas,180,109.5,43.800000000000004,0.392,0.515,93.075,93.075,4.0,23.0,34.2,46.7,5,6,yes,299.0,DH_DE_Ind,Wintershall,1967
BNA0449,hard coal,hard coal,92,280.0,112.0,0.39799999999999996,0.856,196.0,196.0,1.3,45.1,73.9,73.2,7,6,no,0.0,N/A,KW Herne,1966
BNA0450,hard coal,hard coal,92,449.0,179.60000000000002,0.45799999999999996,0.743,314.29999999999995,314.29999999999995,1.3,30.5,47.5,69.3,7,6,yes,550.0,DH_DE_Ruhr,KW Herne,1989
BNA0464,hard coal,hard coal,381,690.0,276.0,0.433,0.7859999999999999,482.99999999999994,482.99999999999994,1.3,30.5,47.5,69.3,7,6,no,0.0,N/A,KWM,1979
BNA0490a,lignite,lignite,168,40.0,20.0,0.38299999999999995,0.948,20.0,20.0,7.0,45.1,73.9,73.2,10,7,yes,105.0,DH_DE_Rem,Goldenberg,1993
BNA0490b,lignite,lignite,168,45.0,22.5,0.38299999999999995,0.948,22.5,22.5,7.0,45.1,73.9,73.2,10,7,no,0.0,N/A,Goldenberg,1993
BNA0491,lignite,lignite,168,52.0,26.0,0.37799999999999995,0.96,26.0,26.0,7.0,45.1,73.9,73.2,10,7,yes,137.0,DH_DE_Rem,Ville/Berrenrath,1991
BNA0493,hard coal,hard coal,440,794.0,317.6,0.44799999999999995,0.76,555.8,555.8,1.3,30.5,47.5,69.3,7,6,no,0.0,N/A,Ibbenbüren,1985
BNA0497,open cycle gas turbine,natural gas,31,96.5,24.125,0.41100000000000003,0.491,96.5,96.5,3.0,16.5,21.0,28.5,0,0,yes,126.0,DH_DE_Ind,ADS-Anlage,2012
BNA0498,hard coal,hard coal,31,66.0,26.400000000000002,0.491,0.693,46.199999999999996,46.199999999999996,1.3,45.1,73.9,73.2,7,6,yes,105.0,DH_DE_Ind,Heizkraftwerk,1989
BNA0499,combined cycle gas turbine,natural gas,31,86.0,34.4,0.5539999999999999,0.365,73.1,73.1,4.0,23.0,34.2,46.7,5,6,yes,204.0,DH_DE_Ind,Heizkraftwerk,2003
BNA0504,combined cycle gas turbine,natural gas,334,182.0,72.8,0.522,0.387,154.7,154.7,4.0,24.0,34.2,46.7,5,6,yes,225.0,DH_DE_Rem,HKW Jena,1996
BNA0510a,open cycle gas turbine,natural gas,243,11.6,2.9,0.373,0.541,11.6,11.6,3.0,19.5,34.5,43.5,0,0,yes,18.0,DH_DE_Ind,HKW Karcherstr.,1989
BNA0510b,hard coal,hard coal,243,13.4,5.36,0.415,0.82,9.379999999999999,9.379999999999999,1.3,45.1,73.9,73.2,7,6,yes,20.0,DH_DE_Rem,HKW Karcherstr.,1996
BNA0514,combined cycle gas turbine,natural gas,264,353.0,141.20000000000002,0.531,0.38,300.05,300.05,4.0,23.0,34.2,46.7,5,6,no,0.0,N/A,Rheinhafen-Dampfkraftwerk,1998
BNA0515,open cycle gas turbine,natural gas,263,37.0,9.25,0.36700000000000005,0.5489999999999999,37.0,37.0,3.0,19.5,34.5,43.5,0,0,yes,64.0,DH_DE_Rem,Heizkraftwerk West,1984
BNA0516,oil,oil,264,45.0,11.25,0.38,0.701,45.0,45.0,3.0,20.7,35.8,45.1,0,0,yes,64.0,DH_DE_Ind,MiRO,1995
BNA0517,oil,oil,264,25.0,6.25,0.38,0.701,25.0,25.0,3.0,20.7,35.8,45.1,0,0,yes,36.0,DH_DE_Ind,MiRO,1995
BNA0518a,hard coal,hard coal,264,505.0,202.0,0.43799999999999994,0.777,353.5,353.5,1.3,30.5,47.5,69.3,7,6,yes,259.0,DH_DE_Rem,Rheinhafen-Dampfkraftwerk,1985
BNA0518b,hard coal,hard coal,264,842.0,336.8,0.46,0.7390000000000001,589.4,589.4,1.3,30.5,47.5,69.3,7,6,yes,432.0,DH_DE_Rem,Rheinhafen-Dampfkraftwerk,2014
BNA0521,open cycle gas turbine,natural gas,226,50.0,12.5,0.371,0.544,50.0,50.0,3.0,19.5,34.5,43.5,0,0,yes,46.0,DH_DE_Rem,Kombi-HKW,1987
BNA0523,lignite,lignite,226,33.5,16.75,0.371,0.9790000000000001,16.75,16.75,7.0,45.1,73.9,73.2,10,7,yes,88.0,DH_DE_Rem,FKK,1988
BNA0526,hard coal,hard coal,433,323.0,129.20000000000002,0.405,0.84,226.1,226.1,1.3,30.5,47.5,69.3,7,6,yes,295.0,DH_DE_Rem,Gemeinschaftskraftwerk Kiel,1970
BNA0527,open cycle gas turbine,natural gas,433,31.0,7.75,0.35200000000000004,0.573,31.0,31.0,3.0,19.5,34.5,43.5,0,0,yes,74.0,DH_DE_Rem,HKW Humboldtstr.,1970
BNA0531,combined cycle gas turbine,natural gas,214,201.5,80.60000000000001,0.45,0.44799999999999995,171.275,171.275,4.0,23.0,34.2,46.7,5,6,no,0.0,N/A,KW Kirchlengern,1980
BNA0543,lignite,lignite,104,75.3,37.65,0.424,0.857,37.65,37.65,7.0,45.1,73.9,73.2,10,7,yes,100.0,DH_DE_Rem,HKW Merkenich,2010
BNA0544,combined cycle gas turbine,natural gas,111,35.0,14.0,0.513,0.39299999999999996,29.75,29.75,4.0,23.0,34.2,46.7,5,6,yes,32.0,DH_DE_Rem,HKW Südstadt,1994
BNA0545,combined cycle gas turbine,natural gas,109,413.0,165.20000000000002,0.5760000000000001,0.35,351.05,351.05,4.0,23.0,34.2,46.7,5,6,yes,370.0,DH_DE_Rem,HKW Niehl 2,2005
BNA0546,combined cycle gas turbine,natural gas,104,108.0,43.2,0.5579999999999999,0.36200000000000004,91.8,91.8,4.0,23.0,34.2,46.7,5,6,yes,80.0,DH_DE_Rem,HKW Merkenich,2004
BNA0547,oil,oil,106,80.0,20.0,0.38,0.7709999999999999,80.0,80.0,3.0,20.7,35.8,45.1,0,0,yes,235.0,DH_DE_Ind,Raffineriekraftwerk Köln Godorf,2004
BNA0548a,combined cycle gas turbine,natural gas,168,800.0,320.0,0.5670000000000001,0.35600000000000004,680.0,680.0,4.0,23.0,34.2,46.7,5,6,no,0.0,N/A,Knapsack Gas I,2006
BNA0548b,combined cycle gas turbine,natural gas,168,430.0,172.0,0.599,0.337,365.5,365.5,4.0,23.0,34.2,46.7,5,6,no,0.0,N/A,Knapsack Gas II,2013
BNA0556a,open cycle gas turbine,natural gas,88,25.8,6.45,0.389,0.518,25.8,25.8,3.0,19.5,34.5,43.5,0,0,yes,15.0,DH_DE_Ind,KWK-Anlage Krefeld DT,2005
BNA0556b,open cycle gas turbine,natural gas,8,14.0,3.5,0.44799999999999995,0.451,14.0,14.0,3.0,16.5,21.0,28.5,0,0,yes,8.0,DH_DE_Ind,KWK-Anlage Krefeld VM,1995
BNA0557a,hard coal,hard coal,83,26.0,10.4,0.318,1.071,18.2,18.2,1.3,45.1,73.9,73.2,7,6,yes,47.0,DH_DE_Ind,Kraftwerk L 57,1957
BNA0557b,hard coal,hard coal,83,110.0,44.0,0.353,0.965,77.0,77.0,1.3,45.1,73.9,73.2,7,6,yes,314.0,DH_DE_Ind,Kraftwerk N 230,1971
BNA0574a,open cycle gas turbine,natural gas,386,56.0,14.0,0.355,0.568,56.0,56.0,3.0,16.5,21.0,28.5,0,0,no,0.0,N/A,Landesbergen Gas,1973
BNA0588,combined cycle gas turbine,natural gas,345,167.0,66.8,0.585,0.345,141.95,141.95,4.0,24.0,34.2,46.7,5,6,yes,200.0,DH_DE_Rem,Heizkraftwerk Leipzig-Nord,1996
BNA0592,combined cycle gas turbine,natural gas,143,52.0,20.8,0.531,0.38,44.199999999999996,44.199999999999996,4.0,23.0,34.2,46.7,5,6,yes,42.0,DH_DE_Ind,GuD Leuna,1998
BNA0593,combined cycle gas turbine,natural gas,143,35.0,14.0,0.513,0.39299999999999996,29.75,29.75,4.0,23.0,34.2,46.7,5,6,yes,25.0,DH_DE_Ind,ILK-GuD,1994
BNA0594,combined cycle gas turbine,natural gas,143,35.0,14.0,0.513,0.39299999999999996,29.75,29.75,4.0,23.0,34.2,46.7,5,6,yes,25.0,DH_DE_Ind,ILK-GuD,1994
BNA0595,combined cycle gas turbine,natural gas,143,37.0,14.8,0.513,0.39299999999999996,31.45,31.45,4.0,24.0,34.2,46.7,5,6,yes,26.0,DH_DE_Ind,ILK-GuD,1994
BNA0596,oil,oil,143,92.5,23.125,0.38,0.7709999999999999,92.5,92.5,3.0,20.7,35.8,45.1,0,0,yes,208.0,DH_DE_Ind,Raffineriekraftwerk,1997
BNA0600a,open cycle gas turbine,natural gas,110,27.0,6.75,0.364,0.5539999999999999,27.0,27.0,3.0,19.5,34.5,43.5,0,0,yes,54.0,DH_DE_Ind,X-Kraftwerk,1981
BNA0600b,hard coal,hard coal,83,103.0,41.2,0.33,1.031,72.1,72.1,1.3,45.1,73.9,73.2,7,6,yes,178.0,DH_DE_Ind,G-Kraftwerk,1962
BNA0602,combined cycle gas turbine,natural gas,392,116.0,46.400000000000006,0.59,0.342,98.6,98.6,4.0,23.0,34.2,46.7,5,6,no,0.0,N/A,Emsland,2011
BNA0603,combined cycle gas turbine,natural gas,392,116.0,46.400000000000006,0.59,0.342,98.6,98.6,4.0,23.0,34.2,46.7,5,6,no,0.0,N/A,Emsland,2011
BNA0604,combined cycle gas turbine,natural gas,392,359.0,143.6,0.419,0.48200000000000004,305.15,305.15,4.0,23.0,34.2,46.7,5,6,no,0.0,N/A,Emsland,1973
BNA0605,combined cycle gas turbine,natural gas,392,359.0,143.6,0.423,0.47700000000000004,305.15,305.15,4.0,24.0,34.2,46.7,5,6,no,0.0,N/A,Emsland,1974
BNA0606,combined cycle gas turbine,natural gas,392,887.0,354.8,0.585,0.345,753.9499999999999,753.9499999999999,4.0,23.0,34.2,46.7,5,6,no,0.0,N/A,Emsland,2010
BNA0607,nuclear,uranium,392,1336.0,534.4,0.33,0.0,801.6,801.6,6.0,140.0,140.0,140.0,72,10,no,0.0,N/A,Kernkraftwerk Emsland,1988
BNA0614a,open cycle gas turbine,natural gas,250,43.0,10.75,0.359,0.562,43.0,43.0,3.0,16.5,21.0,28.5,0,0,yes,66.0,DH_DE_Ind,KW Mitte,1992
BNA0614b,combined cycle gas turbine,natural gas,250,490.0,196.0,0.563,0.359,416.5,416.5,4.0,23.0,34.2,46.7,5,6,yes,540.0,DH_DE_Ind,Kraftwerk Mitte,2005
BNA0615,combined cycle gas turbine,natural gas,250,390.0,156.0,0.527,0.38299999999999995,331.5,331.5,4.0,23.0,34.2,46.7,5,6,yes,420.0,DH_DE_Ind,Kraftwerk Süd,1997
BNA0618,hard coal,hard coal,91,149.0,59.6,0.415,0.82,104.3,104.3,1.3,45.1,73.9,73.2,7,6,no,0.0,N/A,KW Lünen,1962
BNA0619,hard coal,hard coal,91,324.0,129.6,0.418,0.815,226.79999999999998,226.79999999999998,1.3,30.5,47.5,69.3,7,6,yes,589.0,DH_DE_Ind,KW Lünen,1969
BNA0626,combined cycle gas turbine,natural gas,200,434.2,173.68,0.545,0.371,369.07,369.07,4.0,23.0,34.2,46.7,5,6,yes,220.0,DH_DE_Rem,Kraftwerk Mainz,2001
BNA0627,combined cycle gas turbine,natural gas,200,335.0,134.0,0.43700000000000006,0.462,284.75,284.75,4.0,23.0,34.2,46.7,5,6,yes,172.0,DH_DE_Rem,Kraftwerk Mainz,1977
BNA0643,hard coal,hard coal,252,202.5,81.0,0.35,0.972,141.75,141.75,1.3,45.1,73.9,73.2,7,6,no,0.0,N/A,GKM ,1970
BNA0644,hard coal,hard coal,252,255.0,102.0,0.43799999999999994,0.777,178.5,178.5,1.3,45.1,73.9,73.2,7,6,yes,204.0,DH_DE_Mannheim,GKM ,2005
BNA0645,hard coal,hard coal,34,425.0,170.0,0.38,0.895,297.5,297.5,1.3,30.5,47.5,69.3,7,6,yes,250.0,DH_DE_Mannheim,GKM ,1982
BNA0646a,hard coal,hard coal,252,435.0,174.0,0.408,0.835,304.5,304.5,1.3,30.5,47.5,69.3,7,6,yes,121.0,DH_DE_Mannheim,GKM ,1993
BNA0646b,hard coal,hard coal,34,843.0,337.20000000000005,0.46299999999999997,0.735,590.0999999999999,590.0999999999999,1.3,30.5,47.5,69.3,7,6,yes,121.0,DH_DE_Mannheim,GKM ,2015
BNA0647,oil,oil,270,77.4,19.35,0.305,0.873,77.4,77.4,3.0,20.7,35.8,45.1,0,0,no,0.0,N/A,Dampfkraftwerk Marbach am Neckar,1971
BNA0648,oil,oil,270,85.0,21.25,0.38,0.7,85.0,85.0,3.0,20.7,35.8,45.1,0,0,no,0.0,N/A,Dampfkraftwerk Marbach am Neckar,1975
BNA0649,oil,oil,270,262.0,65.5,0.38,0.7,262.0,262.0,3.0,20.7,35.8,45.1,0,0,no,0.0,N/A,Dampfkraftwerk Marbach am Neckar,1975
BNA0658,combined cycle gas turbine,natural gas,148,61.1,24.44,0.5539999999999999,0.365,51.935,51.935,4.0,24.0,34.2,46.7,5,6,yes,122.0,DH_DE_Ind,Kraftwerk III,1973
BNA0659,combined cycle gas turbine,natural gas,148,77.6,31.04,0.5539999999999999,0.365,65.96,65.96,4.0,23.0,34.2,46.7,5,6,yes,155.0,DH_DE_Ind,Kraftwerk III,1974
BNA0660,hard coal,hard coal,148,55.3,22.12,0.353,0.965,38.709999999999994,38.709999999999994,1.3,45.1,73.9,73.2,7,6,yes,158.0,DH_DE_Ind,Kraftwerk I  ,1971
BNA0661,hard coal,hard coal,148,60.4,24.16,0.34,1.0,42.279999999999994,42.279999999999994,1.3,45.1,73.9,73.2,7,6,yes,110.0,DH_DE_Ind,Kraftwerk II,1966
BNA0662a,hard coal,hard coal,148,60.2,24.080000000000002,0.38299999999999995,0.889,42.14,42.14,1.3,45.1,73.9,73.2,7,6,yes,116.0,DH_DE_Ind,Kraftwerk I ,1983
BNA0662b,hard coal,hard coal,148,120.0,48.0,0.273,1.248,84.0,84.0,1.3,45.1,73.9,73.2,7,6,yes,218.0,DH_DE_Ind,Kraftwerk I,1939
BNA0680,lignite,lignite,341,60.0,30.0,0.32299999999999995,1.124,30.0,30.0,7.0,45.1,73.9,73.2,10,7,no,0.0,N/A,Mumsdorf,1968
BNA0681,open cycle gas turbine,natural gas,308,78.6,19.65,0.315,0.6409999999999999,78.6,78.6,3.0,16.5,21.0,28.5,0,0,yes,260.0,DH_DE_Muenchen,Freimann GT 1,1975
BNA0682,open cycle gas turbine,natural gas,308,78.6,19.65,0.315,0.6409999999999999,78.6,78.6,3.0,16.5,21.0,28.5,0,0,no,0.0,N/A,Freimann GT 2,1975
BNA0683a,combined cycle gas turbine,natural gas,308,79.7,31.880000000000003,0.45,0.44799999999999995,67.745,67.745,4.0,24.0,34.2,46.7,5,6,yes,177.0,DH_DE_Muenchen,Süd DT1,1980
BNA0683b,combined cycle gas turbine,natural gas,308,97.9,39.160000000000004,0.45,0.44799999999999995,83.215,83.215,4.0,23.0,34.2,46.7,5,6,yes,177.0,DH_DE_Muenchen,Süd GT3,1980
BNA0683c,combined cycle gas turbine,natural gas,308,97.9,39.160000000000004,0.45,0.44799999999999995,83.215,83.215,4.0,24.0,34.2,46.7,5,6,yes,184.0,DH_DE_Muenchen,Süd GT2,1980
BNA0684a,combined cycle gas turbine,natural gas,308,124.9,49.96000000000001,0.5579999999999999,0.36200000000000004,106.165,106.165,4.0,23.0,34.2,46.7,5,6,yes,184.0,DH_DE_Muenchen,Süd GT 61,2004
BNA0684b,combined cycle gas turbine,natural gas,308,123.9,49.56,0.5579999999999999,0.36200000000000004,105.315,105.315,4.0,23.0,34.2,46.7,5,6,yes,110.0,DH_DE_Muenchen,Süd GT 62,2004
BNA0684c,combined cycle gas turbine,natural gas,308,127.6,51.04,0.5579999999999999,0.36200000000000004,108.46,108.46,4.0,24.0,34.2,46.7,5,6,yes,181.0,DH_DE_Muenchen,Süd DT60,2004
BNA0685,combined cycle gas turbine,natural gas,35,100.2,40.080000000000005,0.563,0.359,85.17,85.17,4.0,23.0,34.2,46.7,5,6,yes,120.0,DH_DE_Rem,Heizkraftwerk Hafen,2005
BNA0686,nuclear,uranium,257,1310.0,524.0,0.33,0.0,786.0,786.0,6.0,140.0,140.0,140.0,72,10,no,0.0,N/A,Gemeinschaftskernkraftwerk Neckarwestheim II,1989
BNA0688,combined cycle gas turbine,natural gas,137,75.0,30.0,0.527,0.38299999999999995,63.75,63.75,4.0,23.0,34.2,46.7,5,6,yes,60.0,DH_DE_Rem,GuD-HKW Neubrandenburg,1997
BNA0696,lignite,lignite,164,277.0,138.5,0.33299999999999996,1.092,138.5,138.5,7.0,45.1,73.9,73.2,10,7,no,0.0,N/A,Neurath,1972
