,nextBatch,powerBatch,production,shutDown,SOC,discharge,slag
0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
2,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
3,1.0,400.0,400.0,-0.0,25.0,1.0,0.0
4,0.0,0.0,400.0,-0.0,50.0,1.0,0.0
5,-0.0,0.0,400.0,-0.0,75.0,1.0,0.0
6,0.0,0.0,400.0,-0.0,100.0,1.0,0.0
7,1.0,400.0,400.0,-0.0,125.0,1.0,0.0
8,0.0,0.0,400.0,-0.0,150.0,1.0,0.0
9,0.0,0.0,400.0,0.0,175.0,1.0,0.0
10,0.0,0.0,400.0,0.0,200.0,1.0,0.0
11,1.0,400.0,400.0,0.0,225.0,1.0,0.0
12,0.0,0.0,400.0,-0.0,250.0,1.0,0.0
13,0.0,0.0,400.0,0.0,275.0,1.0,0.0
14,0.0,0.0,400.0,0.0,300.0,1.0,0.0
15,1.0000000000000002,400.0000000000001,400.0000000000001,-0.0,325.0000000000001,1.0,0.0
16,0.0,0.0,400.0000000000001,-0.0,350.0000000000002,1.0,0.0
17,-0.0,0.0,400.0000000000001,-0.0,375.00000000000034,1.0,0.0
18,0.0,0.0,400.0000000000001,-0.0,400.00000000000045,1.0,0.0
19,1.0000000000000002,400.0000000000001,400.0000000000001,-0.0,425.00000000000057,1.0,0.0
20,-0.0,0.0,400.0000000000001,-0.0,450.0000000000007,1.0,0.0
21,0.0,0.0,400.0000000000001,-0.0,475.0000000000008,1.0,0.0
22,0.0,0.0,400.0000000000001,-0.0,500.0000000000009,1.0,0.0
23,1.0,400.0,400.0,-0.0,525.0000000000009,1.0,0.0
24,0.0,0.0,400.0,-0.0,550.0000000000009,1.0,0.0
25,-0.0,0.0,400.0,-0.0,575.0000000000009,1.0,0.0
26,-0.0,0.0,400.0,-0.0,600.0000000000009,1.0,0.0
27,0.0,0.0,0.0,-0.0,225.0000000000009,1.0,0.0
28,1.0,400.0,400.0,0.0,250.0000000000009,1.0000000000000002,0.0
29,0.0,0.0,400.0,-0.0,275.0000000000009,1.0,0.0
30,0.0,0.0,400.0,-0.0,300.0000000000009,1.0,0.0
31,0.0,0.0,400.0,-0.0,325.0000000000009,1.0,0.0
32,1.0,400.0,400.0,-0.0,350.0000000000009,1.0,0.0
33,0.0,0.0,400.0,-0.0,375.0000000000009,1.0,0.0
34,0.0,0.0,400.0,-0.0,400.0000000000009,1.0,0.0
35,-0.0,0.0,400.0,-0.0,425.0000000000009,1.0,0.0
36,1.0,400.0,400.0,-0.0,450.0000000000009,1.0,0.0
37,0.0,0.0,400.0,-0.0,475.0000000000009,1.0,0.0
38,0.0,0.0,400.0,-0.0,500.0000000000009,1.0,0.0
39,-0.0,0.0,400.0,0.0,525.0000000000009,1.0,0.0
40,1.0,400.0,400.0,-0.0,550.0000000000009,1.0,0.0
41,0.0,0.0,400.0,-0.0,575.0000000000009,1.0,0.0
42,0.0,0.0,400.0,0.0,600.0000000000009,1.0,0.0
43,-0.0,0.0,400.0,0.0,625.0000000000009,1.0,0.0
44,1.0,400.0,400.0,0.0,650.0000000000009,1.0,0.0
45,0.0,0.0,400.0,0.0,675.0000000000009,1.0,0.0
46,0.0,0.0,400.0,-0.0,700.0000000000009,1.0,0.0
47,0.0,0.0,400.0,0.0,725.0000000000009,1.0,0.0
48,-0.0,0.0,0.0,0.0,350.0000000000009,1.0,0.0
49,1.0,400.0,400.0,0.0,375.0000000000009,1.0,0.0
50,-0.0,0.0,400.0,-0.0,400.0000000000009,1.0,0.0
51,-0.0,0.0,400.0,0.0,425.0000000000009,1.0,0.0
52,0.0,0.0,400.0,-0.0,450.0000000000009,1.0,0.0
53,1.0,400.0,400.0,0.0,475.0000000000009,1.0,0.0
54,0.0,0.0,400.0,-0.0,500.0000000000009,1.0,0.0
55,0.0,0.0,400.0,-0.0,525.0000000000009,1.0,0.0
56,0.0,0.0,400.0,-0.0,550.0000000000009,1.0,0.0
57,0.9999999999999996,399.99999999999983,399.99999999999983,0.0,575.0000000000007,1.0,0.0
58,0.0,0.0,399.99999999999983,0.0,600.0000000000005,1.0,0.0
59,-0.0,0.0,399.99999999999983,-0.0,625.0000000000002,0.9999999999999996,0.0
60,0.0,0.0,399.99999999999983,-0.0,650.0,0.9999999999999996,0.0
61,0.9999999999999996,399.99999999999983,399.99999999999983,-0.0,674.9999999999998,0.9999999999999996,0.0
62,-0.0,0.0,399.99999999999983,-0.0,699.9999999999995,0.9999999999999996,0.0
63,0.0,0.0,399.99999999999983,-0.0,724.9999999999993,0.9999999999999996,0.0
64,-0.0,0.0,399.99999999999983,0.0,749.9999999999991,1.0,0.0
65,-0.0,0.0,0.0,0.0,374.99999999999915,1.0000000000000004,0.0
66,1.0000000000000004,400.00000000000017,400.00000000000017,0.0,399.9999999999993,1.0000000000000004,0.0
67,0.0,0.0,400.00000000000017,-0.0,424.9999999999995,1.0000000000000004,0.0
68,-0.0,0.0,400.00000000000017,0.0,449.99999999999966,1.0,0.0
69,0.0,0.0,400.00000000000017,0.0,474.99999999999983,1.0000000000000004,0.0
70,1.0000000000000002,400.0000000000001,400.0000000000001,0.0,499.99999999999994,1.0,0.0
71,0.0,0.0,400.0000000000001,-0.0,525.0,1.0,0.0
72,0.0,0.0,400.0000000000001,-0.0,550.0000000000001,1.0,0.0
73,0.0,0.0,400.0000000000001,-0.0,575.0000000000002,1.0,0.0
74,1.0,400.0,400.0,-0.0,600.0000000000002,1.0,0.0
75,0.0,0.0,400.0,-0.0,625.0000000000002,1.0,0.0
76,-0.0,0.0,400.0,-0.0,650.0000000000002,1.0,0.0
77,-0.0,0.0,400.0,-0.0,675.0000000000002,1.0,0.0
78,-0.0,0.0,0.0,-0.0,300.0000000000002,1.0,0.0
79,1.0000000000000002,400.0000000000001,400.0000000000001,-0.0,325.00000000000034,1.0,0.0
80,-0.0,0.0,400.0000000000001,-0.0,350.00000000000045,1.0,0.0
81,0.0,0.0,400.0000000000001,-0.0,375.00000000000057,1.0,0.0
82,0.0,0.0,400.0000000000001,-0.0,400.0000000000007,1.0,0.0
83,1.0,400.0,400.0,-0.0,425.0000000000007,1.0,0.0
84,0.0,0.0,400.0,-0.0,450.0000000000007,1.0,0.0
85,-0.0,0.0,400.0,-0.0,475.0000000000007,1.0,0.0
86,0.0,0.0,400.0,-0.0,500.0000000000007,1.0,0.0
87,1.0,400.0,400.0,-0.0,525.0000000000007,1.0,0.0
88,-0.0,0.0,400.0,-0.0,550.0000000000007,1.0,0.0
89,-0.0,0.0,400.0,-0.0,575.0000000000007,1.0,0.0
90,-0.0,0.0,400.0,-0.0,600.0000000000007,1.0,0.0
91,1.0,400.0,400.0,-0.0,625.0000000000007,1.0,0.0
92,0.0,0.0,400.0,-0.0,650.0000000000007,1.0,4800.0
93,0.0,0.0,400.0,-0.0,675.0000000000007,1.0,0.0
94,0.0,0.0,400.0,-0.0,700.0000000000007,1.0,0.0
95,0.0,0.0,0.0,-0.0,325.0000000000007,1.0,0.0
